Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,Studio,USA_Umsatz
Batman Begins,2005,"Action,Adventure",140,PG-13,ChristopherNolan,"ChristianBale,MichaelCaine,KenWatanabe,LiamNeeson","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",8.2,70,1334536,DC,206850000
V for Vendetta,2005,"Action,Drama,Sci-Fi",132,R,JamesMcTeigue,"HugoWeaving,NataliePortman,RupertGraves,StephenRea","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",8.1,62,1049937,DC,70510000
Batman,1989,"Action,Adventure",126,PG-13,TimBurton,"MichaelKeaton,JackNicholson,KimBasinger,RobertWuhl","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",7.5,69,343916,DC,251190000
I Am Legend,2007,"Action,Adventure,Drama",101,PG-13,FrancisLawrence,"WillSmith,AliceBraga,CharlieTahan,SalliRichardson-Whitfield","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",7.2,65,698805,DC,256390000
Batman & Robin,1997,"Action,Sci-Fi",125,PG-13,JoelSchumacher,"ArnoldSchwarzenegger,GeorgeClooney,ChrisO'Donnell,UmaThurman",Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,3.8,28,237323,DC,107330000
Constantine,2005,"Action,Fantasy,Horror",121,R,FrancisLawrence,"KeanuReeves,RachelWeisz,DjimonHounsou,ShiaLaBeouf","Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",7,50,314439,DC,75980000
Batman Forever,1995,"Action,Adventure",121,PG-13,JoelSchumacher,"ValKilmer,TommyLeeJones,JimCarrey,NicoleKidman","Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4,51,237797,DC,184030000
Superman,1978,"Action,Adventure,Drama",143,PG,RichardDonner,"ChristopherReeve,MargotKidder,GeneHackman,MarlonBrando","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",7.3,80,161927,DC,134220000
Green Lantern,2011,"Action,Adventure,Sci-Fi",114,PG-13,MartinCampbell,"RyanReynolds,BlakeLively,PeterSarsgaard,MarkStrong","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",5.5,39,270460,DC,116600000
Batman Returns,1992,"Action,Crime,Fantasy",126,PG-13,TimBurton,"MichaelKeaton,DannyDeVito,MichellePfeiffer,ChristopherWalken","While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",7,68,278873,DC,162830000
The Karate Kid,2010,"Action,Drama,Family",140,PG,HaraldZwart,"JackieChan,JadenSmith,TarajiP.Henson,WenwenHan","Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",6.2,61,165938,DC,176590000
Supergirl,1984,"Action,Adventure,Fantasy",124,PG,JeannotSzwarc,"HelenSlater,FayeDunaway,PeterO'Toole,MiaFarrow","After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.",4.4,42,19280,DC,13600000
The Iron Giant,1999,"Animation,Action,Adventure",86,PG,BradBird,"EliMarienthal,HarryConnickJr.,JenniferAniston,VinDiesel",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,8,85,175763,DC,23160000
Superman Returns,2006,"Action,Sci-Fi",154,PG-13,BryanSinger,"BrandonRouth,KevinSpacey,KateBosworth,JamesMarsden","Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",6,72,273377,DC,200080000
Clerks,1994,Comedy,92,R,KevinSmith,"BrianO'Halloran,JeffAnderson,MarilynGhigliotti,LisaSpoonauer","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",7.7,70,213527,DC,3150000
Daddy Day Care,2003,"Comedy,Family",92,PG,SteveCarr,"EddieMurphy,JeffGarlin,AnjelicaHuston,SteveZahn","Two men, Charlie Hinton (Eddie Murphy) and Phil Ryerson (Jeff Garlin), get laid off and have to become stay-at-home dads when they can't find jobs. This inspires them to open their own day-care center.",5.6,39,64906,DC,104300000
Superman III,1983,"Action,Adventure,Comedy",125,PG,RichardLester,"ChristopherReeve,RichardPryor,MargotKidder,JackieCooper",Synthetic kryptonite laced with tar splits Superman in two: good Clark Kent and bad Man of Steel.,5,44,65178,DC,59950000
Superman II,1980,"Action,Adventure,Sci-Fi",127,PG,"RichardLester,RichardDonner","GeneHackman,ChristopherReeve,MargotKidder,NedBeatty","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",6.8,83,99747,DC,108190000
Catwoman,2004,"Action,Crime,Fantasy",104,PG-13,Pitof,"HalleBerry,SharonStone,BenjaminBratt,LambertWilson","A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",3.4,27,112736,DC,40200000
Agent Cody Banks,2003,"Action,Adventure,Comedy",102,PG,HaraldZwart,"FrankieMuniz,HilaryDuff,AndrewFrancis,AngieHarmon",A government agent trains Cody Banks in the ways of covert operations that require younger participants.,5.1,41,33401,DC,47810000
Looney Tunes: Back in Action,2003,"Animation,Action,Adventure",91,PG,"JoeDante,EricGoldberg","BrendanFraser,JennaElfman,SteveMartin,HeatherLocklear",The Looney Tunes search for a man's missing father and the mythical Blue Monkey diamond.,5.7,64,34009,DC,20990000
Fred Claus,2007,"Comedy,Family,Fantasy",116,PG,DavidDobkin,"VinceVaughn,PaulGiamatti,ElizabethBanks,JohnMichaelHiggins","Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.",5.6,42,40992,DC,72010000
Being Flynn,2012,Drama,102,R,PaulWeitz,"PaulDano,RobertDeNiro,JulianneMoore,OliviaThirlby","Working in a Boston homeless shelter, Nick Flynn re-encounters his father, a con man and self-proclaimed poet. Sensing trouble in his own life, Nick wrestles with the notion of reaching out yet again to his dad.",6.4,53,16695,DC,530000
